rain_day,rain_hour,elevation,ground_type,ground_amplitude,slope_degree,slope_percentage,danger_level
21.9,0.4,36.0,A2,20 a 100m,10 a 30º,0 a 60%,Baixa
3.8,1.0,33.0,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
9.2,0.4,43.0,URBANO,20 a 100m,10 a 30º,0 a 60%,Media
9.6,0.6,37.0,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
9.2,0.4,25.0,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
9.6,0.4,37.0,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
7.6,0.5,55.0,LVd4,20 a 100m,10 a 30º,0 a 60%,Baixa
3.8,0.2,66.0,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
2.1,0.4,70.0,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
0.1,0.1,36.0,A2,20 a 100m,10 a 30º,0 a 60%,Baixa
9.2,0.2,43.0,URBANO,20 a 100m,10 a 30º,0 a 60%,Media
9.6,0.2,23.0,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
2.5,0.0,43.0,LVd4,20 a 100m,10 a 30º,0 a 60%,Baixa
0.1,0.0,36.0,A2,20 a 100m,10 a 30º,0 a 60%,Baixa
1.6,0.0,33.0,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
9.4,0.5,36.0,A2,20 a 100m,10 a 30º,0 a 60%,Baixa
26.5,1.1,36.0,A2,20 a 100m,10 a 30º,0 a 60%,Baixa
9.6,0.6,51.0,LVd4,20 a 100m,10 a 30º,0 a 60%,Baixa
49.1,1.2,21.0,A2,20 a 100m,10 a 30º,0 a 60%,Baixa
19.8,3.1,36.0,A2,20 a 100m,10 a 30º,0 a 60%,Baixa
2.3,0.0,57.0,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
35.6,0.0,48.0,A2,20 a 100m,10 a 30º,0 a 60%,Media
35.6,0.2,24.0,A2,0 a 40m,0 a 5º,0 a 15%,Media
9.6,0.3,36.0,LVd4,20 a 100m,10 a 30º,0 a 60%,Alta
20.2,0.7,34.0,A2,20 a 100m,10 a 30º,0 a 60%,Media
2.9,0.0,41.0,LVd2,20 a 100m,10 a 30º,0 a 60%,Media
20.2,0.3,13.0,A2,0 a 40m,0 a 5º,0 a 15%,Baixa
83.0,7.5,27.0,A2,20 a 100m,10 a 30º,0 a 60%,Baixa
83.0,7.5,27.0,A2,20 a 100m,10 a 30º,0 a 60%,Baixa
20.2,0.2,36.0,A2,20 a 100m,10 a 30º,0 a 60%,Baixa
83.0,7.5,27.0,A2,20 a 100m,10 a 30º,0 a 60%,Baixa
20.2,0.2,34.0,A2,20 a 100m,10 a 30º,0 a 60%,Media
0.1,0.0,55.0,LVd2,20 a 100m,10 a 30º,0 a 60%,Media
3.7,0.3,11.0,A2,0 a 40m,0 a 5º,0 a 15%,Baixa
12.7,0.6,36.0,A2,20 a 100m,10 a 30º,0 a 60%,Baixa
9.6,0.1,24.0,LVd4,20 a 100m,10 a 30º,0 a 60%,Baixa
7.3,0.5,57.0,LVd2,20 a 100m,10 a 30º,0 a 60%,Media
83.0,8.0,36.0,A2,20 a 100m,10 a 30º,0 a 60%,Baixa
20.2,0.5,27.0,A2,20 a 100m,10 a 30º,0 a 60%,Baixa
14.2,1.3,57.0,URBANO,20 a 100m,10 a 30º,0 a 60%,Media
14.2,0.5,47.0,A2,20 a 100m,10 a 30º,0 a 60%,Media
26.5,0.3,39.0,A2,20 a 100m,10 a 30º,0 a 60%,Media
26.5,0.3,62.0,A2,20 a 100m,10 a 30º,0 a 60%,Media
