processo_numero,solicitacao_data,solicitacao_hora,solicitacao_descricao,solicitacao_bairro,solicitacao_localidade,solicitacao_endereco,processo_ocorrencia,confirmado,latitude,longitude,cond,em_recife,rain_hour,rain_day,altitude,ground_type,danger_level
8058622022,2022-05-31 12:11:00,12:11,"USUÁRIA INFORMA QUE UMA ARVORE ESTA COM RISCO DE QUEDA E A OUTRA CAIU POREM, NÃO ATINGIU A CASA.",IBURA,IBURA DE BAIXO,RUA RIO PIRACICABA N.21,Tombamento de Arvores,0,-8.1116545,-34.9456241,False,1,6.1,21.1,22.0,LVd2,Baixa
8076262219,2019-06-17 07:28:00,07:28,"USUÁRIO INFORMA QUE O SEU VIZINHO HAVIA COLOCADO UMA BICA VOLTADA PARA A BARREIRA E COM AS GRANDES CHUVAS A MESMA DESLIZOU DEIXANDO A BASE DO MURO COM UM GRANDE BURACO, AMEAÇANDO CAIR A QUALQUER MOMENTO E ATINGIR AS CASAS.",MACAXEIRA,BURITY,"RUA RANUSIA ALVES RODRIGUES, 752",Imoveis com Danos/Risco,0,-8.0094146,-34.9303986,False,1,2.0,61.0,43.0,A2,Média
8030270418,2018-03-09 09:02:00,09:02,USUÁRIO SOLICITA VISTORIA NO SEU IMÓVEL POIS O MESMO TEM MUITA INFILTRAÇÃO E ALAGA SEMPRE QUE CHOVE.DESEJA ORIENTAÇÃO DA DEFESA CIVIL PARA EVITAR ACIDENTES,VASCO DA GAMA,ALTO NOSSA SRª DE FATIMA,"RUA ALTO NOSSA SENHORA DE FÁTIMA, 2644",Imoveis Alagados,0,-8.011475,-34.9164672,False,1,0.0,0.0,68.0,A2,Média
8002587016,2016-01-22 10:55:00,10:55,"usuario solicita de uma vistoria no muro de arrimo, esta havendo uma filtraçao nesse muro",VASCO DA GAMA,ALTO DAS PEDRINHAS,rua senador milton campos n 286,Muro com Danos,0,-8.0142691,-34.9241833,False,1,0.2,10.0,72.0,A2,Média
8023700016,2016-05-09 17:30:00,17:30,USUARIA IONFORMA QUE O CANAL DO LOCAL CITADO TRANSBORDOU ENTRANDO A AGUA NAS CASAS ÃO REDOR DO LOCAL CITADO PEDE URGENCIA NA SOLICITAÇÃO PARA EQUIPE COMPARECER URGENTIMENTE PÓS A SIATUAÇÃO ESTA DE RISCO.,TORRE,TORRE,RUA SÃO BENTO DO NORTE N 14,Imoveis Alagados,0,-8.045984,-34.9181892,False,1,5.6,133.0,11.0,A2,Baixa
8092256319,2019-07-25 14:50:00,14:50,"A BARREIRA DESLIZOU E JÁ ATINGIU A RESIDENCIA DA SENHORA LINDINALVA NA PARTE DA COZINHA, A MESMA ESTÁ COM MEDO POIS SOBROU UMA PARTE QUE PODE DESLIZAR, POSSUI MANGUEIRA E PÉ DE AROEIRA. SOLICITA COLOCAÇÃO DE LONA E CAPINAÇÃO. CHEGANDO AO LOCAL PROCURAR POR LINDINALVA",DOIS UNIDOS,ALTO DO MARACANA,PRIMEIRA TRAVESSA GORANDIA N27,Deslizamentos de Barreiras,1,-8.0044956,-34.9066946,False,1,4.4,10.0,35.0,URBANO,Alta
8067757617,2017-07-27 08:46:00,08:46,USUÁRIO INFORMA QUE HÁ UM PRIMEIRO ANDAR COM RISCO DE QUEDA POIS ESTÁ COM VÁRIAS RACHADURAS.,BRASILIA TEIMOSA,BRASILIA TEIMOSA,RUA DAGOBERTO PIRES,Imoveis com Danos/Risco,0,-8.0862739,-34.8795352,False,1,1.0,-1.0,8.0,AGUA,Baixa
8082230321,2021-09-14 09:48:00,09:48,UMA ARVORE CAIU ENCIMA DO PE DE COCO A UM MES  E FICOU MAIS RECLINADO  O COQUEIRO PARA A REDE DE FIOS DA CELPE. COQUEIRO ACIMA DA BARREIRA. FAVOR VERIFICAR,VARZEA,JD. PETROPOLIS,RUA HUGO NAPOLEAO N 65,Arvores em Risco,0,-8.0346353,-34.9603359,False,1,0.0,8.0,24.0,A2,Baixa
8028673622,2022-03-23 13:11:00,13:11,USUÁRIA SOLICITA ERRADICACAO DE ARVORE EM BARREIRA COM RISCO DE QUEDA.,PASSARINHO,ALTO SO NOS DOIS,RUA ALTO SO NOS DOIS N 4,Arvores em Risco,0,-7.988553550000001,-34.92232574738948,False,1,1.5,11.5,30.0,LVd4,Baixa
8071772816,2016-11-23 09:41:00,09:41,"USUÁRIA INFORMA QUE UM EDIFÍCIO ESTA COM A COLUNA CAINDO,COM  RACHADURAS.",SANTO ANTNIO,SANTO ANTNIO,RUA FREI  CANECA N 59,Imoveis com Danos/Risco,0,-8.0650497,-34.88089118210441,False,1,0.0,0.0,12.0,URBANO,Baixa
