processo_numero,solicitacao_data,solicitacao_hora,solicitacao_descricao,solicitacao_bairro,solicitacao_localidade,solicitacao_endereco,processo_ocorrencia,confirmado,latitude,longitude,cond,em_recife,rain_hour,rain_day,altitude,label
8038097120,2020-04-15 09:36:00,09:36,USUÁRIO INFORMA SOBRE 3 MANGUEIRAS EM SUA BARREIRA QUE ESTÃO MUITO ALTAS E MUITO CHEIAS E PRECISAM DE PODA,IBURA,IBURA DE BAIXO,"RUA RIO ESPERA, 640",Arvores em Risco,0,-8.1219515,-34.9383158,False,1,0.0,0.0,41.0,LVd2
8011586714,2014-07-19 12:43:00,12:43,"USUARIA INFORMA QUE A BARREIRA SE ENCONTRA COM RACHADURAS E MUITO MATOS, E ESTÁ CAINDO AO DECORRER DAS CHUVA AOS POUCOS, E ELA RESIDE COM DUAS CRIANÇAS E ESTÁ COM MUITO MEDO QUE DIZ QUE PODE CAIR A QUALQUER MOMENTO PRA CIMA DE SUA RESIDENCIA.",IBURA,LAGOA ENCANTADA,RUA TRV PAULO DE BIVIASE (ANTIGA RUA 17) Nº 166,Deslizamentos de Barreiras,1,-8.116954549999999,-34.95209736849097,False,1,0.0,12.0,69.0,LVd2
8020108515,2015-07-04 11:26:00,11:26,USUÁRIO SOLICITA RETIRADA DE PÉ CARAMBOLA QUE ESTÁ EM ÁREA DE RISCO DEVIDO A BARREIRA JÁ TER DESLIZADO E CORRE RISCO DE QUEDA POR SOBRE A CASA E POSSÍVEL DANO EM POSTE E FIAÇÕES. OBS: JÁ EXISTEM RACHADURAS NA CASA. URGÊNCIA.,NOVA DESCOBERTA,CGO. DA AREIA,RUA CORREGO DA AREIA N. 10 SUBIDA TONHO.,Arvores em Risco,0,-7.9999177,-34.9269306,False,1,7.6,-1.0,,LVd4
8020438120,2020-02-13 07:54:00,07:54,usuario solicita de lona para barreira,NOVA DESCOBERTA,CGO. DA AREIA,rua dona catarina n 179,Deslizamentos de Barreiras,1,-7.9999177,-34.9269306,False,1,0.8,6.0,66.0,LVd4
8015029514,2014-09-08 12:58:00,12:58,"MORADOR INFORMA QUE FAZ 2 MESES QUE SOLICITOU A COLOCAÇÃO DA LONA NA BARREIRA, E NÃO COMPARECERAM. POR ISSO, A BARREIRA VEIU A DESLIZAR ATINGINDO SUA RESIDENCIA, SEM DESABAMENTO DO IMOVEL. MAS A BARREIRA ESTÁ COM RISCO DE DESLIZAR NOVAMENTE. PEDE VISITA COM URGENCIA.",VASCO DA GAMA,ALTO DO EUCALIPTO,"3ª TRV RUA CAMBORIU, Nº 86",Deslizamentos de Barreiras,1,-8.0035327,-34.9204651,False,1,7.0,68.0,43.0,LVd4
8028137017,2017-04-05 08:52:00,08:52,USUARIO SOLICITA COLOCAÇÃO DE LONA PLÁSTICAS POIS A BARREIRA ESTA DESLIZANDO DESDE DE ONTEM APOS A CHUVA DURANTE A NOITE E SOLICITA URGENCIA NO LOCAL,PASSARINHO,CGO. DA BICA,"RUA CHORÃO, 302",Deslizamentos de Barreiras,1,-7.9780743,-34.9176287,False,1,0.0,9.0,34.0,LVd4
8013854019,2019-02-06 09:27:00,09:27,"usuaria informa que tem uma canaleta que sai na escadaria, mas agora a os vizinhos tampou a canaleta e agora esta minando pela barreira. pede urgencia da equipe para fazer a vistoria no local",VASCO DA GAMA,ALTO DO EUCALIPTO,rua alto do eucalipto n 779,Deslizamentos de Barreiras,1,-8.0139266,-34.9211868,False,1,0.0,46.0,55.0,A2
8056569522,2022-05-29 11:32:00,11:32,SOLICITA VISTORIA EM COQUEIRO NA BARREIRA COM RISO DE CAIR EM CIMA DA CASA DA MORADORA,IBURA,IBURA DE BAIXO,RUA RIO ESPERA 638,Arvores em Risco,0,-8.1219515,-34.9383158,False,1,0.3,40.2,41.0,LVd2
8030648721,2021-04-10 22:40:00,22:40,"USUÁRIO INFORMA QUE PARTE DO TELHADO DA SUA CASA CAIU E TEME QUE CAIA NOVAMENTE.ALÉM DISSO HÁ UM FIO ENERGIZADO QUE, SEGUNDO A SOLICITANTE, ESTÁ EM SUA PORTA, ENTÃO ELA NÃO PODE SAIR.",CASA AMARELA,CASA AMARELA,"RUA IBIA, 42",Imoveis com Danos/Risco,0,-8.0248758,-34.9103712,False,1,4.4,81.0,23.0,URBANO
8010285115,2015-04-06 10:34:00,10:34,"DESEJA VISTORIA EM SEU IMOVEL DEVIDO UMA FOSSA, O DEMANDANTE DESEJA ESSA AVALIAÇÃO POIS DESEJA FAZER EM OUTRO LOCAL E QUER SABER SE TEM ALGUM RISCO.",NOVA DESCOBERTA,CGO. DO BOLEIRO,RUA PORTO VIVA,Deslizamentos de Barreiras,1,-8.0014099,-34.931535,False,1,0.0,0.0,50.0,LVd4
8056505722,2022-05-29 10:09:00,10:09,SOLIICTA VISTORIA BARREIRA DESLIZOU E MORADORA SOLICITA COLOCAÇÃO DE LONA,DOIS UNIDOS,DOIS UNIDOS,TRAVESSA JOAO CAVALCANTI PETRIBU 147,Deslizamentos de Barreiras,1,-7.9912716,-34.9171168,False,1,1.9,40.2,50.0,LVd4
8011899116,2016-03-18 12:05:00,12:05,usuaria relata que sua casa esta com rachaduras.,VASCO DA GAMA,ALTO DO RESPLENDOR,rua resplendor,Imoveis com Danos/Risco,0,-8.0162884,-34.9223252,False,1,0.0,7.0,37.0,A2
8030473616,2016-05-30 12:16:00,12:16,"USUARIA SOLICITA UMA VISTORIA NA BARREIRA HOUVE UM DESLIZAMENTO DURANTE AS CHUVAS, SOLICITA REPOSIÇÃO DE UM A LONA PLASTICA E SOLICITA URGENCIA",VARZEA,UR 07,"RUA DR SOLANO CARNEIRO DA CUNHA, 220",Deslizamentos de Barreiras,1,-8.0339487,-34.9801284,False,1,3.2,66.0,73.0,PV1
8066496022,2022-06-11 17:15:00,17:15,"USUÁRIA MORA EM ÁREA DE RISCO, POR TRÁS DE SUA CASA TEM UMA BARREIRA QUE É  GRANDE HOUVE UM DESLIZAMENTO E EM CIMA TEM UM PÉ DE MACAÍBA MUITO ALTO E DOIS  PÉS DE COCO. INFORMA TAMBÉM QUE SUA CASA ESTÁ RACHADA A PARTE DA COZINHA. ELA SOLICITA UMA VISTORIA.",JD. SAO PAULO,JD. SAO PAULO,RUA TERMINAL INTEGRADO BARRO SUL,Deslizamentos de Barreiras,1,-8.0662752,-34.9362607,False,1,0.0,22.4,8.0,HP
