processo_numero,latitude,longitude,ground_type,ground_amplitude,slope_degree,slope_percentage,danger_level,rain_day,rain_hour,elevation
8044307221,-8.0416231,-34.8980669,URBANO,0 a 20m,0 a 5º,0 a 10%,Baixa,19.0,0.1,13.0
8043509021,-8.003224,-34.922811,LVd4,20 a 100m,10 a 30º,0 a 60%,Alta,19.0,0.7,65.0
8082637621,-8.0182901,-34.9230267,A2,20 a 100m,10 a 30º,0 a 60%,Baixa,3.8,0.2,45.0
8023708622,-8.0100442,-34.9179104,A2,20 a 100m,10 a 30º,0 a 60%,Media,0.7,0.0,41.0
8068433622,-8.0120285,-34.9171261,A2,20 a 100m,10 a 30º,0 a 60%,Media,1.2,0.2,65.0
8009160722,-8.0549484,-34.9178877,A2,0 a 20m,0 a 5º,0 a 10%,Baixa,3.9,0.1,10.0
8027402922,-8.0476706,-34.9616125,A2,0 a 20m,0 a 5º,0 a 10%,Baixa,19.1,0.2,17.0
8036069921,-8.012244299999999,-34.9165066,A2,20 a 100m,10 a 30º,0 a 60%,Media,1.1,0.0,68.0
8027404122,-8.0476706,-34.9616125,A2,0 a 20m,0 a 5º,0 a 10%,Baixa,19.1,0.2,17.0
8106172821,-8.0483995,-34.9590902,A2,0 a 20m,0 a 5º,0 a 10%,Baixa,0.6,0.0,20.0
8083345921,-8.0396508,-34.94821170000001,AGUA,0 a 20m,0 a 5º,0 a 10%,Baixa,4.0,0.2,12.0
8069725221,-8.0387537,-34.9639181,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,7.2,0.3,17.0
8043302721,-8.0239708,-34.9499865,A2,0 a 40m,0 a 5º,0 a 15%,Baixa,17.8,0.1,10.0
8043306221,-8.105225599999999,-34.9504832,PV1,20 a 100m,10 a 30º,0 a 60%,Baixa,17.8,0.1,49.0
8033556621,-8.0483995,-34.9590902,A2,0 a 20m,0 a 5º,0 a 10%,Baixa,10.3,1.6,20.0
8022858621,-8.0344458,-34.9716015,LVd2,20 a 100m,10 a 30º,0 a 60%,Baixa,2.1,0.1,57.0
8068586722,-8.0447686,-34.9523205,AGUA,0 a 20m,0 a 5º,0 a 10%,Baixa,8.0,0.2,16.0
