solicitacao_bairro,processo_ocorrencia,confirmado,latitude,longitude,rain_hour,rain_day,altitude,ground_type,danger_level,flooding_risk,ground_amplitude,filtered_ocorrencia
23,9,0,-8.0316256,-34.879409,6.0,123.0,10.0,7,1,0,0,0
57,12,0,-8.0099903,-34.9278894,0.2,20.0,54.0,0,1,3,3,0
9,8,0,-8.0250816,-34.8913229,15.0,133.0,11.0,7,1,0,0,0
57,6,1,-8.0167725,-34.92925013244986,0.0,4.7,12.0,0,1,0,1,1
19,1,0,-8.0770544,-34.8954944,0.2,2.1,5.0,7,1,0,0,0
64,9,0,-8.0041607,-34.9268896,0.0,0.0,46.0,5,0,3,3,0
56,1,0,-8.0056743,-34.8994827,0.0,0.6,20.0,7,2,3,3,0
82,9,0,-8.047381,-34.908379,0.0,2.0,13.0,1,1,2,0,0
53,9,0,-8.0818179,-34.9529888,0.0,0.0,22.0,6,1,3,2,0
43,6,1,-7.9499148,-34.9266449,0.0,25.0,68.0,5,2,3,3,1
14,9,0,-8.0196658,-34.9015527,0.0,0.0,16.0,7,1,3,3,0
82,11,0,-8.0469308,-34.9171592,0.0,0.0,11.0,0,1,0,1,0
12,9,0,-8.1134842,-34.8956655,0.0,0.4,11.0,2,1,0,0,0
64,9,0,-7.9953433,-34.9295966,0.3,11.1,79.0,5,2,3,3,1
55,12,0,-8.1293818,-34.9422057,0.0,1.0,40.0,4,2,3,3,0
87,9,0,-8.0152763,-34.920067,0.0,0.0,23.0,0,1,3,3,1
52,9,0,-8.0314536,-34.9292495,0.0,1.0,10.0,0,1,0,1,0
4,12,0,-8.0143973,-34.913789,0.0,50.0,55.0,0,1,3,3,0
57,6,1,-8.0057876,-34.9324787,0.8,15.0,50.0,5,2,3,3,1
64,12,0,-7.9969368,-34.9281029,0.0,0.0,70.0,5,1,3,3,0
45,1,0,-8.1275475,-34.9458453,0.0,0.0,41.0,4,2,3,3,0
64,6,1,-8.0055139,-34.9251502,0.5,7.9,63.0,5,2,3,3,1
45,9,0,-8.1190227,-34.9384265,0.8,16.0,16.0,4,1,0,1,1
53,0,0,-8.0662752,-34.9362607,0.0,1.4,8.0,2,1,0,0,0
86,6,1,-8.0388558,-34.9672562,1.2,2.0,18.0,4,2,3,3,1
47,9,0,-8.0657057,-34.8941783,0.0,22.0,7.0,1,1,0,0,0
87,9,0,-8.1111283,-34.9625845,0.0,9.0,86.0,6,3,3,4,0
4,6,1,-8.0129991,-34.9127978,,,55.0,0,2,3,3,1
64,1,0,-7.9965685,-34.9311509,0.4,6.9,41.0,5,1,3,3,0
