processo_numero,solicitacao_data,solicitacao_hora,solicitacao_descricao,solicitacao_bairro,solicitacao_localidade,solicitacao_endereco,processo_ocorrencia,is_confirmed,latitude,longitude,location_strategy,ground_type,ground_amplitude,slope_degree,slope_percentage,danger_level
8009201718,2018-01-19,18:15,"a usuaria informa que a barreira da rua deslizou,favor verificar com urgencia.a mesma comunica que a barreira está descoberta necessitando de lona.",BREJO DA GUABIRABA,ALTO DAS PEDRINHAS,RUA   CORREGO DO MARRECO,Deslizamentos de Barreiras,2,-7.9967893,-34.9374423,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
8013661614,2014-08-21,10:55,/USUARIO SOLICITA VISTORIA E COLOCAÇÃO DE LONA EM BARREIRA COM RISCO POIS ESTA OCORRENDO DESLIZAMENTO. A MESMA PEDE URGENCIA POIS ESTA COM MUITO MEDO.,NOVA DESCOBERTA,ALTO ANTONIO FELIX,"RUA ELISIO CABRAL, 215",Deslizamentos de Barreiras,2,-8.0108495,-34.9253121,google maps api,A2,20 a 100m,10 a 30º,0 a 60%,Media
8066359322,2022-06-11,10:36,LONA NA BARREIRA DE GRANDE PORTE,DOIS IRMAOS,CGO. DA FORTUNA,"RUA SITIO SAPUCAIA, N 01",Deslizamentos de Barreiras,2,-8.0085704,-34.9561073,google maps api,A2,20 a 100m,10 a 30º,0 a 60%,Baixa
8031386621,2021-04-12,10:10,"USUÁRIO SOLICITA COLOCAÇÃO DE LONA, PRECISA DE CAPINAÇÃO. HOUVE DESLIZAMENTO E DERRUBOU A PAREDE DO QUARTO",DOIS UNIDOS,DOIS UNIDOS,"RUA ENGENHEIRO CÉLIO DE CARLI, SN",Deslizamentos de Barreiras,2,-7.9980897,-34.921421,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
8061777318,2018-05-11,08:55,A USUARIO INFORMA QUE A CANALETA DA BARREIRA DESABOU E FEZ UM BURACO . A MESMA PEDE URGENCIA,IBURA,UR 10,RUA ESTEVÃO DE ARAUJO 42,Deslizamentos de Barreiras,2,-8.1365967,-34.9531721,google maps api,A2,20 a 100m,10 a 30º,0 a 60%,Media
8033507521,2021-04-15,11:52,"SR SOLICITA A COLOCAÇAO DE LONAS, CAPINAÇAO E VISTORIA NA BARREIRA QUE DESLIZOU",IBURA,LAGOA ENCANTADA,RUA JOVEM JOAO  NETOS N27,Deslizamentos de Barreiras,2,-8.1169822,-34.9514882,google maps api,LVd2,20 a 100m,10 a 30º,0 a 60%,Media
8003871919,2019-01-14,10:15,USUÁRIA SOLICITA DA URGÊNCIA DA LONA NA BARREIRA É UMA FISCALIZAÇÃO QUE UM MORADOR ESTA CAVANDO A BARREIRA COM RISCO DE DESABAMENTO,IBURA,TRES CARNEIROS BAIXO,RUA   ITABERA n 62,Deslizamentos de Barreiras,2,-8.123408699999999,-34.9546137,google maps api,LVd2,20 a 100m,10 a 30º,0 a 60%,Media
8012969714,2014-08-09,09:08,/USUARIO SOLICITA VISTORIA E COLOCAÇÃO DE LONA EM BARREIRA COM RISCO. O MESMO PEDE URGENCIA.,NOVA DESCOBERTA,NOVA DESCOBERTA,"RUA ALTO DAS MORENAS,42",Deslizamentos de Barreiras,2,-8.006359999999999,-34.9237691,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Alta
8063044122,2022-06-07,07:08,SOLICITA VISTORIA BARREIRA DESLIZOU E MORADOR TEM MEDO QUE VENHA ATINGIR A CASA,DOIS IRMAOS,CGO. DA FORTUNA,RUAPROFESSOR  CLAUDIO SELVA SN,Deslizamentos de Barreiras,2,-8.0083434,-34.958808,google maps api,A2,20 a 100m,10 a 30º,0 a 60%,Baixa
8069619622,2022-06-20,08:08,"solicita vistoria e lonas. Informa também que a barreira chegou a deslizar, rasgando a lona.",DOIS IRMAOS,SITIO DOS PINTOS,"rua 2tv parque santa maria, 151",Deslizamentos de Barreiras,2,-8.0131212,-34.958266,google maps api,A2,0 a 40m,0 a 5º,0 a 15%,Baixa
8030622821,2021-04-10,20:31,"USUÁRIA INFORMA QUE UMA BARREIRA CAIU, ELA INFORMA QUE NÃO TEM VITIMAS, ELA SOLICITA A VISTORIA.",DOIS UNIDOS,DOIS UNIDOS,Subida da Medalha Milagrosa N378,Deslizamentos de Barreiras,2,-8.0048126,-34.9089606,google maps api,URBANO,20 a 100m,10 a 30º,0 a 60%,Media
8013498814,2014-08-18,17:46,USUÁRIA SOLICITA VISTORIA EM BARREIRA QUE ESTA COM INFILTRAÇÃO A BARREIRA ESTA DESLIZANDO,NOVA DESCOBERTA,NOVA DESCOBERTA,"SUBIDA DEPUTADO GOMES DE SA, 153",Deslizamentos de Barreiras,2,-8.0058066,-34.9265988,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
8030708021,2021-04-11,04:49,USUÁRIA INFORMA DESLIZAMENTO DE BARREIRA E SOLICITA EQUIPE AO LOCAL.,DOIS UNIDOS,ALTO DO CAPITAO,"RUA VILA FLOR, 13",Deslizamentos de Barreiras,2,-8.0026475,-34.9088629,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
8013318014,2014-08-15,09:37,"USUÁRIO RECLAMA DE RESIDENCIA DE NUMERO 188 ESTA COM VAZAMENTO E PONDO EM RISCO IMÓVEIS DE NUMERO 199 E 201, PEDE QUE SEJA VISTORIADO COM URGÊNCIA. SEM DESLIZAMENTO Q",NOVA DESCOBERTA,CGO. DO EUCALIPTO,"RUA CANTORA CLARA NUNES, 188, 199/ 201",Deslizamentos de Barreiras,2,-8.044259199999999,-34.918697,google maps api,A2,0 a 40m,0 a 5º,0 a 15%,Baixa
8030626321,2021-04-10,20:41,"USUÁRIA INFORMA QUE HOUVE A QUEDA DE UM MURO E TAMBÉM A QUEDA PARCIAL DE UMA BARREIRA, SOLICITA UMA VISTORIA.",DOIS UNIDOS,DOIS UNIDOS,Rua Edu Lopes N40,Deslizamentos de Barreiras,2,-8.0016643,-34.9032599,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
8030702121,2021-04-11,03:55,"INFORMA QUE HOUVE DESLIZAMENTO DE BARREIRA NO LOCAL , ACABOU DERRUBANDO UMA PARTE DO MURO NO LOCAL.",DOIS UNIDOS,ALTO DO MARACANA,RUA VILA FLOR N 35,Deslizamentos de Barreiras,2,-7.998914999999999,-34.915557,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
8011108814,2014-07-13,13:45,BARREIRA EM RISCO. PEDE VISTORIA E COLOCAÇÃO DE LONA.,NOVA DESCOBERTA,NOVA DESCOBERTA,"RUA CORREGO DO CARROCEIRO, Nº 180",Deslizamentos de Barreiras,2,-7.9820184,-34.9297225,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
8107598719,2019-09-04,09:42,"SRA. INFORMA QUE ESSA BARREIRA FOI CONDENADA PELA DEFESA CIVIL , E UM MORADOR NOVO QUE ACABOU DE ALUGAR UMA RESIDÊNCIA NÃO QUER SE RETIRAR DO LOCAL POREM ESSA BARREIRA É DE RISCO.",ALTO SANTA TEREZINHA,ALTO DO PASCOAL,RUA   TAMBOARA N 626,Deslizamentos de Barreiras,2,-8.015854599999999,-34.9063899,google maps api,A2,20 a 100m,10 a 30º,0 a 60%,Baixa
8038225821,2021-04-30,07:18,SOLICITA VISTORIA EM BARREIRA POIS A BARREIRA ESTA DESLIZANDO E ESTA PRÓXIMO DA CASA,DOIS UNIDOS,ALTO DO CAPITAO,RUA MARIA MARTINS 23,Deslizamentos de Barreiras,2,-8.0011393,-34.9132234,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Baixa
8011198714,2014-07-14,11:24,"USUARIA DESEJA QUE SEJA COLOCADO A LONA E FEITO A CAPINAÇÃO, NAO ACONTECEU DESLIZAMENTO",NOVA DESCOBERTA,CGO. DA AREIA,"RUA DO CRISTAL, 348",Deslizamentos de Barreiras,2,-7.999621599999999,-34.9281835,google maps api,LVd4,20 a 100m,10 a 30º,0 a 60%,Media
