FID,the_geom,Id,Legenda,Classe,Textura,Solos,CLAS_SOLO
mapa_exploratorio_solos_pernambuco_wgs84.1,"MULTIPOLYGON (((-35.00392655166473 -7.452355974670165, -34.99812804434217 -7.4558350325607625, -34.993916537390135 -7.45986342690868, -34.99214653262815 -7.463952864069885, -34.99086485421899 -7.469324067853007, -34.99171948010873 -7.474268021819013, -34.99452726398684 -7.477136741381526, -35.00282847861393 -7.482324860151512, -35.010641334914425 -7.484033902682702, -35.01814896105697 -7.483667705692128, -35.02416797708916 -7.481509992077934, -35.024618908592466 -7.481348340932641, -35.03377214994982 -7.47831364752397, -35.03488167669996 -7.4779457917815355, -35.03603288055167 -7.47756411831897, -35.04640918277134 -7.472131912466084, -35.06056982190296 -7.466516612578304, -35.074669397468234 -7.459253335264532, -35.0776601852791 -7.45595738388681, -35.077354940000156 -7.452844530093161, -35.074669251251954 -7.4512575758153385, -35.069664154535424 -7.4510744486199965, -35.053855417378664 -7.4528444456178535, -35.04451665770774 -7.4534547757963425, -35.04201408193977 -7.451928857373443, -35.04103742683793 -7.449243253125749, -35.04402819497557 -7.4450317542124615, -35.05281741899089 -7.433923169353518, -35.05995867407023 -7.4252560361069255, -35.06111831649715 -7.42122764185454, -35.06172857707508 -7.414940900428238, -35.05892082077002 -7.413964306166173, -35.05446511533919 -7.416771958667828, -35.04622511383866 -7.421960013721789, -35.03725266147853 -7.427148067709603, -35.02882953235292 -7.431359543765911, -35.02303105598363 -7.436974869321513, -35.017232582576426 -7.442651232821425, -35.01436386115035 -7.445275787802866, -35.01143409508029 -7.4475341243774436, -35.00392655166473 -7.452355974670165)))",0,PV8,PV,,Associacao de: PODZOLICO VERMELHO AMARELO...,PV - Associacao de: PODZOLICO VERMELHO AMARELO...
mapa_exploratorio_solos_pernambuco_wgs84.2,"MULTIPOLYGON (((-34.85377130427115 -7.536279012369082, -34.85462942560462 -7.536998706642907, -34.85615678222789 -7.540776714819914, -34.85623719775891 -7.54326859050371, -34.85720183120017 -7.544635105006552, -34.85832722507836 -7.545278172135716, -34.85993491239827 -7.544715494117846, -34.8628287366286 -7.542625540409324, -34.86548141871833 -7.541500183140159, -34.867732190884134 -7.5415001881107875, -34.86925949576583 -7.541098276082617, -34.87159063359232 -7.5394906196292, -34.87528830733413 -7.537481050801478, -34.877458688482 -7.536918374041047, -34.879789848509056 -7.537159528434735, -34.88244256595604 -7.539008345130292, -34.885818751094796 -7.541339461894472, -34.89120456716024 -7.544876329272075, -34.89546497563081 -7.546564383330206, -34.90101153185662 -7.547609375585352, -34.90414654578576 -7.5485739794396896, -34.90905002548839 -7.549779736422269, -34.911702723961156 -7.55010127458003, -34.91411428266 -7.551789324532459, -34.91708854397939 -7.554441972653583, -34.91837472817983 -7.557255383208764, -34.91869628524027 -7.559023811628209, -34.91789245687407 -7.560792237574675, -34.91628476513899 -7.560953000198732, -34.91491821899636 -7.560309932572643, -34.913230117996754 -7.558139585755027, -34.90816585404803 -7.555406549957963, -34.90487006894433 -7.554200796529489, -34.9010115889939 -7.552834275700099, -34.8978765762814 -7.551950054930798, -34.89417885797054 -7.549940469812495, -34.88951652001547 -7.5476897333210085, -34.88605994562099 -7.544876317921059, -34.88212106507595 -7.542304050683275, -34.87922719932955 -7.540937531938311, -34.87761950489653 -7.54093752838732, -34.87448451685204 -7.542304033822333, -34.870224172773064 -7.546162412263965, -34.86540112909152 -7.549377724842297, -34.86194459580398 -7.550101164950303, -34.8584076661204 -7.549860007915334, -34.85374532458504 -7.547528888294379, -34.85077106027375 -7.545117389303512, -34.84554602648941 -7.54294703457913, -34.84273256346893 -7.543107794531278, -34.83782912285467 -7.545197743832215, -34.83284527629211 -7.545599648383082, -34.828986813038746 -7.545599641514074, -34.82633413226704 -7.546564233773158, -34.823038405182835 -7.549859934255214, -34.821264820871356 -7.552875033587435, -34.82185337329661 -7.5533706425744205, -34.82484427238222 -7.558558722640493, -34.82888819853308 -7.561998979822379, -34.82906013972051 -7.562023542635279, -34.83169722049787 -7.563544899186881, -34.8350104862155 -7.566215723538518, -34.8385265953535 -7.568311816008407, -34.83987894452815 -7.569089398801783, -34.841873651668166 -7.569630328271409, -34.84369931074531 -7.569731755728092, -34.84451072884331 -7.570881223336648, -34.8447812211819 -7.572808269585692, -34.844713625324374 -7.574464852545926, -34.84447696989475 -7.5747691223948355, -34.84285418140469 -7.5761890472235, -34.838898589933216 -7.576155230751546, -34.834266801217964 -7.573991520219063, -34.83115636526203 -7.56966411341477, -34.828282602693825 -7.566418557680886, -34.82723452853776 -7.565539552522063, -34.82704843749777 -7.56532201668772, -34.82704170642847 -7.565333741807083, -34.824661220749526 -7.56313643531475, -34.82112104543321 -7.5624650310876795, -34.81904580459997 -7.564662329619457, -34.81715369539519 -7.568324496632657, -34.81373565759796 -7.572352877951973, -34.81141629555704 -7.576625405921494, -34.80903593482453 -7.583766633909589, -34.809051570152995 -7.584082376156203, -34.81292211016369 -7.586697539393358, -34.81356009713397 -7.587109394158534, -34.8147002079615 -7.587670667171877, -34.81880198651671 -7.589626124038082, -34.818735160158965 -7.589657061649199, -34.81918227495622 -7.589877174886042, -34.824417430800274 -7.59035856818915, -34.838944262901386 -7.586330209035571, -34.849808853970764 -7.582057700634666, -34.85170195155438 -7.581166847087936, -34.859124276354216 -7.577635901354078, -34.862314240051944 -7.576601341336003, -34.86222680954335 -7.576426487755328, -34.86219262852148 -7.576358128619432, -34.85769607575042 -7.574228226232009, -34.85428121141062 -7.572865175790145, -34.854050619798855 -7.572773134656696, -34.84964961891192 -7.5710164658686425, -34.84677588603759 -7.570036032836799, -34.84627010737989 -7.569712904275816, -34.84613286719324 -7.569625225164057, -34.84555877098625 -7.569258450343808, -34.845389715706276 -7.568244215417624, -34.84555447479529 -7.567832313020201, -34.845629807531616 -7.567643979045532, -34.84572778976265 -7.567399020695933, -34.84589866497201 -7.567267579889732, -34.846606801671506 -7.566722866253558, -34.8467684676022 -7.566040253986742, -34.84691106173097 -7.565438169818228, -34.8470800891655 -7.564254896542017, -34.8476210154973 -7.563511125722736, -34.84887192514798 -7.563173050284236, -34.85083896684081 -7.563744117894999, -34.85096120794751 -7.563779606689292, -34.850968058808114 -7.56378159561748, -34.85576889907472 -7.566655270712048, -34.85826803160172 -7.568135614270377, -34.85902941929772 -7.568586616938795, -34.86107686892688 -7.569799409447133, -34.86344347505287 -7.570847456996249, -34.8656072187497 -7.570948885190948, -34.868345694780146 -7.570069887920804, -34.8687639206217 -7.56994283489994, -34.8710165548124 -7.569258506141349, -34.872368891523095 -7.569055662197509, -34.87358600032738 -7.56935993522683, -34.87472056732286 -7.570463806546239, -34.874836928329664 -7.570577019413796, -34.876054039034024 -7.571050331531063, -34.87653551429771 -7.571105183057323, -34.87644765859216 -7.571049542413875, -34.8766068965744 -7.570951551359183, -34.87762059297198 -7.570327748071919, -34.88354696886457 -7.568612258923752, -34.884416867443925 -7.568324637606315, -34.888628433196104 -7.5672259957529775, -34.90083354567088 -7.565549014512343, -34.904688447044364 -7.565004555245118, -34.90728551126881 -7.56513124444476, -34.915729005780165 -7.56545600624027, -34.92384699977221 -7.567775398518436, -34.923901634401766 -7.567800154355137, -34.92390669613063 -7.567801560370491, -34.92397612318693 -7.567833906431794, -34.927753409061715 -7.56954545601497, -34.92775843821534 -7.569547782891494, -34.929719842412396 -7.56280045605151, -34.933810056176 -7.555748391452952, -34.93837944618092 -7.5494655316627055, -34.93840199624869 -7.549434525579838, -34.93744047492452 -7.549576218683592, -34.926793753219854 -7.549305521388991, -34.916688365452174 -7.54668898537656, -34.907304764334725 -7.54190706022937, -34.90706919684467 -7.541598395712277, -34.90698561029084 -7.541488872097922, -34.906855864932986 -7.541318866519748, -34.89705126715841 -7.538050724408629, -34.890031942025175 -7.536158587578583, -34.882951582828866 -7.534632667627627, -34.877824443628135 -7.5350599094867565, -34.86665460348669 -7.535853355015619, -34.85731588521256 -7.536524732259073, -34.85371467245417 -7.536158507258892, -34.85360142050983 -7.536136533255489, -34.85377130427115 -7.536279012369082)))",0,SM,SM,,SOLOS INDISCRIMINADOS DE MANGUE,SM - SOLOS INDISCRIMINADOS DE MANGUE
mapa_exploratorio_solos_pernambuco_wgs84.3,"MULTIPOLYGON (((-35.11312133348982 -7.67358957412447, -35.115566565281256 -7.668058732312389, -35.118252184782285 -7.663358953410935, -35.12063263942238 -7.661772023614521, -35.12502734404277 -7.661527905898491, -35.132046661965305 -7.6608565501248025, -35.13863871510905 -7.659941045984783, -35.14482802083675 -7.657695446326689, -35.1455359452093 -7.657438597653285, -35.153653930270735 -7.655363410720334, -35.159269367136694 -7.652250588984347, -35.16506789730257 -7.646269056468477, -35.16665485468753 -7.643339317859224, -35.16714312539349 -7.638944697850529, -35.165372968096136 -7.629178864645987, -35.16262620650316 -7.6190468067506165, -35.15896390490346 -7.612454856547953, -35.15102894977686 -7.602872103342418, -35.142422583907965 -7.593838677937559, -35.13424347660773 -7.584255930867606, -35.129970818175735 -7.580654766841738, -35.124965718108335 -7.578457436389421, -35.12124242045681 -7.578030165867161, -35.110743942496526 -7.576931466613263, -35.10073377283729 -7.576870387304805, -35.095240378439584 -7.575649637621198, -35.09054045568311 -7.572048475991645, -35.08645089735614 -7.566860374064353, -35.08254446818995 -7.563930616460556, -35.07692897828253 -7.56002427224363, -35.06911614268217 -7.557338646046921, -35.06860228083475 -7.5570543875618466, -35.06626119075752 -7.557579094862966, -35.061785372906556 -7.559600376288749, -35.05629890480032 -7.564509222375446, -35.051534361706224 -7.571583746718117, -35.049079932514395 -7.579524550057995, -35.04792495494901 -7.589631034752231, -35.049657601198966 -7.5984381269775385, -35.052545283305875 -7.604935170664098, -35.05485541373063 -7.608111507975083, -35.05947565282332 -7.6115766143557435, -35.067416674179505 -7.61561925270624, -35.07333635625391 -7.620239395896458, -35.07550210764588 -7.623848870377483, -35.07940049277228 -7.634821659861915, -35.08488706590486 -7.644495053812449, -35.0910955402822 -7.653302183253952, -35.09658206830197 -7.656911681468512, -35.105100629909145 -7.663264393391536, -35.110875942054804 -7.669617086248382, -35.11312133348982 -7.67358957412447)))",0,PV7,PV,,Associacao de: PODZOLICO VERMELHO AMARELO...,PV - Associacao de: PODZOLICO VERMELHO AMARELO...
mapa_exploratorio_solos_pernambuco_wgs84.4,"MULTIPOLYGON (((-35.02416797708916 -7.481509992077934, -35.02309033083145 -7.485389709621914, -35.020012133208226 -7.496452531155165, -35.01847041927774 -7.501993256560806, -35.01542308326059 -7.511797730638329, -35.01514972124899 -7.51267724333131, -35.014822491023864 -7.513512240252098, -35.01096273321638 -7.523361225801547, -35.00719542689507 -7.530102642321478, -35.007191231181935 -7.5301101503513586, -35.00718117372379 -7.530128147696216, -35.01422307205615 -7.53017811152123, -35.01578891658667 -7.53036791119286, -35.02315553097216 -7.531260835916443, -35.02517011377054 -7.531629090333566, -35.03154663257323 -7.53279468238667, -35.03598688953229 -7.534274744488067, -35.03777229560184 -7.534869870468942, -35.04237388206045 -7.537666851300844, -35.043637070446316 -7.539471349567651, -35.04490027307556 -7.543170566710754, -35.04417847865097 -7.5457870805357965, -35.03993785133058 -7.549847176609753, -35.02829863315376 -7.554358367452115, -35.015396244403256 -7.559320674131349, -35.0113053251036 -7.561327484608041, -35.01061424427596 -7.5616664959659445, -35.006102928040534 -7.564463441454534, -35.00546503560186 -7.56506379841396, -35.005290311742726 -7.565228241001595, -35.00456908437387 -7.56590702919599, -35.003679799641105 -7.5682191577198195, -35.003666835021896 -7.568252865557733, -35.003666837122815 -7.568523539404168, -35.00393346419813 -7.570834098315577, -35.00393753559122 -7.570869380530517, -35.00514495526257 -7.572339239099333, -35.00599110843675 -7.573369308097529, -35.006012770496746 -7.573395678520399, -35.0148550477854 -7.580613686905851, -35.03087266918837 -7.590871947795185, -35.03091548729465 -7.590899370062558, -35.03587799238121 -7.595410627216223, -35.0373216366378 -7.5975760265376815, -35.03750210309877 -7.599290296463545, -35.03705098238847 -7.601004563332404, -35.03407350961514 -7.602267694375074, -35.0310960320788 -7.602899252523077, -35.02505083378463 -7.601996976243109, -35.014584503718474 -7.598297714909522, -35.00633451351054 -7.595797742848604, -35.00629479178986 -7.595785706086311, -35.01271773308881 -7.603359714087068, -35.01915033499176 -7.61047491266094, -35.02364355739893 -7.615444935763949, -35.02609230422337 -7.617700623094011, -35.03608593955415 -7.626880603506613, -35.04850283734703 -7.636987161339389, -35.05615511287417 -7.643484235423685, -35.06294113238427 -7.6546014178664015, -35.07102663798281 -7.672360019883192, -35.077812695604585 -7.687664175947126, -35.08182370513212 -7.700780657521518, -35.08315590047428 -7.705046482901794, -35.08392485173313 -7.710522874462478, -35.086187135162234 -7.726357648182467, -35.08921925112728 -7.739351726863946, -35.09311766071306 -7.752923325553407, -35.09687167806373 -7.765195517871483, -35.09948981369174 -7.7698589237419995, -35.10146771006127 -7.773346157337589, -35.10157946455021 -7.773481030027511, -35.10357413540317 -7.774755382993735, -35.104641651648535 -7.771881309521478, -35.10464161622394 -7.7673646276249695, -35.10213890414809 -7.745452599800944, -35.102138857171575 -7.739471048172011, -35.101223233705596 -7.731841511872713, -35.10024655485523 -7.7219536343314, -35.10024648959738 -7.713652705615613, -35.103830934868476 -7.7071302635592085, -35.10396972848337 -7.706877707519731, -35.1065331833013 -7.691130373922606, -35.11043949871784 -7.679655585657289, -35.11312133348982 -7.67358957412447, -35.110875942054804 -7.669617086248382, -35.105100629909145 -7.663264393391536, -35.09658206830197 -7.656911681468512, -35.0910955402822 -7.653302183253952, -35.08488706590486 -7.644495053812449, -35.07940049277228 -7.634821659861915, -35.07550210764588 -7.623848870377483, -35.07333635625391 -7.620239395896458, -35.067416674179505 -7.61561925270624, -35.05947565282332 -7.6115766143557435, -35.05485541373063 -7.608111507975083, -35.052545283305875 -7.604935170664098, -35.049657601198966 -7.5984381269775385, -35.04792495494901 -7.589631034752231, -35.049079932514395 -7.579524550057995, -35.051534361706224 -7.571583746718117, -35.05629890480032 -7.564509222375446, -35.061785372906556 -7.559600376288749, -35.06626119075752 -7.557579094862966, -35.06860228083475 -7.5570543875618466, -35.066247362598254 -7.55575169221194, -35.065026587018075 -7.552638838252569, -35.06563693430858 -7.548732519745103, -35.06813943635424 -7.543239264908495, -35.07833256974273 -7.522731110350895, -35.08193370532016 -7.511134226939366, -35.08391600832141 -7.506178493983377, -35.08383565461573 -7.504611854642456, -35.08373097486972 -7.5025709356466965, -35.083586540959594 -7.4982395779304065, -35.082287039856325 -7.494630109056405, -35.080416781270884 -7.492956778492798, -35.07954374159349 -7.492175665129908, -35.076591650643415 -7.490028757179069, -35.076367300223666 -7.489865598348901, -35.07636143188814 -7.489863699806377, -35.07145829010801 -7.488277419709475, -35.06611616356698 -7.488277404953683, -35.05947460084029 -7.488277386608645, -35.05312180171041 -7.488277369061215, -35.047924026782894 -7.486689188562698, -35.0424374711975 -7.484234734304547, -35.03723965625036 -7.48062525004413, -35.03377214994982 -7.47831364752397, -35.024618908592466 -7.481348340932641, -35.02416797708916 -7.481509992077934)))",0,PV2,PV,,PODZOLICO VERMELHO AMARELO,PV - PODZOLICO VERMELHO AMARELO
mapa_exploratorio_solos_pernambuco_wgs84.5,"MULTIPOLYGON (((-34.97834522913601 -7.637468620058303, -34.97782644749712 -7.6377403581835965, -34.97607835345345 -7.641236541413321, -34.97612906599244 -7.6414292395865395, -34.98415260174756 -7.650357466017991, -34.99404070296554 -7.659634984686839, -34.99768403636223 -7.663864207334749, -35.00276272284596 -7.66973820176993, -35.007701110009485 -7.677618357663596, -35.01065921543234 -7.682410336122847, -35.012962531123804 -7.686063756774625, -35.020226127911755 -7.701261822112457, -35.024202097927954 -7.707842528502712, -35.025555772670636 -7.710072039786092, -35.025900429992596 -7.710446399584956, -35.032708258905366 -7.717754623174918, -35.03947479789332 -7.723382748416366, -35.04396995468351 -7.727080301167943, -35.046739128925516 -7.728288655765777, -35.04733679736808 -7.728542209626456, -35.04952438005297 -7.727873809347889, -35.05151721457332 -7.7248544060874025, -35.05153858932671 -7.724084708570937, -35.05153856474996 -7.721037765518047, -35.05043986282848 -7.717863874432355, -35.0477541834554 -7.714628936607661, -35.047746641343714 -7.714618533990735, -35.04773333822439 -7.714602672994225, -35.044581188526436 -7.710925260130599, -35.04434266921404 -7.709923533672779, -35.044213964615516 -7.709746015148722, -35.04374136023849 -7.707028723555594, -35.043215215395605 -7.704200877332978, -35.041980366490556 -7.700599391556079, -35.041955499612286 -7.7005295304471115, -35.0399412303219 -7.696928380046512, -35.03646203821884 -7.690763698811172, -35.03133481629929 -7.682767920455695, -35.0299503727822 -7.680766374662442, -35.02629860330363 -7.67551711133207, -35.025846690409836 -7.674816667972374, -35.02413229569196 -7.672269644150092, -35.02321670393959 -7.668851610044024, -35.02210425281768 -7.665593859949919, -35.02062467315062 -7.661332852148314, -35.01830389834645 -7.656964483221814, -35.01705179737548 -7.65463013684715, -35.01094798458878 -7.64767197453058, -35.00405070247843 -7.643277328901624, -34.99613386805494 -7.639940234824735, -34.990469255658255 -7.6375872784946734, -34.98602878014896 -7.6369041316215425, -34.98366418962308 -7.636563291004872, -34.97834522913601 -7.637468620058303)))",0,PV2,PV,,PODZOLICO VERMELHO AMARELO,PV - PODZOLICO VERMELHO AMARELO
mapa_exploratorio_solos_pernambuco_wgs84.6,"MULTIPOLYGON (((-34.90290874494614 -7.739997121920449, -34.90353336435633 -7.740337817851129, -34.908421302973075 -7.744207359941115, -34.91758618282388 -7.75031716895942, -34.92064116052827 -7.755001343752224, -34.921150339660066 -7.758259894941577, -34.92115035423269 -7.7605001477269715, -34.922677837551 -7.761925768326486, -34.925121798037324 -7.7622312656638135, -34.9293987151718 -7.760703834966434, -34.93286098750979 -7.760398357611819, -34.937036086582964 -7.7609075201826005, -34.93927639799151 -7.763249610787235, -34.94711746992993 -7.768646612053701, -34.95444939375575 -7.775163739522268, -34.96575278463175 -7.78575407209955, -34.97328837738212 -7.792271203625726, -34.97335407526076 -7.792274488705903, -34.97532501162555 -7.792373041113932, -34.97929645324417 -7.793187694224187, -34.98204590846722 -7.793187704710441, -34.98367520317203 -7.791660264573427, -34.98398068043287 -7.7894200110749905, -34.983573336035064 -7.787179754896647, -34.9808238523958 -7.78351387352647, -34.97939267071785 -7.781878277213863, -34.977361554828114 -7.7807644575658985, -34.97733827137161 -7.780742178202752, -34.97731746024616 -7.780730752672634, -34.972181287377936 -7.775807587667738, -34.96554899898667 -7.769461314192249, -34.959601450293775 -7.76480814339235, -34.945822009287 -7.754057832662196, -34.9422774462532 -7.751417545804792, -34.93387920044381 -7.745225737345539, -34.908726690546935 -7.726998149171933, -34.90841724526284 -7.726654528745852, -34.90669008777579 -7.731478647906286, -34.90567180253168 -7.73636646811108, -34.90383885341325 -7.739421351963972, -34.90290874494614 -7.739997121920449)))",0,A1,A,,SOLOS ALUVIAS DISTROFICOS,A - SOLOS ALUVIAS DISTROFICOS
mapa_exploratorio_solos_pernambuco_wgs84.7,"MULTIPOLYGON (((-34.8864257816446 -7.761009178510292, -34.88815704025865 -7.782087917239768, -34.88937906247951 -7.789419655010525, -34.8893790878186 -7.79379832905907, -34.88785165367722 -7.800926397108669, -34.885204050534306 -7.804592253180023, -34.88133445673435 -7.806527000579336, -34.8796033268073 -7.8081562675225, -34.8798070044074 -7.810702008741617, -34.88143631813215 -7.81182214113629, -34.886324248738546 -7.81324777573849, -34.89249009600724 -7.8140858593772675, -34.892719913628724 -7.813750987222776, -34.89662627047028 -7.8078304988360685, -34.90346241059384 -7.800445154158326, -34.90974924166792 -7.79775958867032, -34.91682957395888 -7.797637543817288, -34.921529464522 -7.799834863333139, -34.92702286513437 -7.805633319213267, -34.93361493658539 -7.810943491138423, -34.93971868775898 -7.812957709216246, -34.94801977857831 -7.81405639410207, -34.9545507778699 -7.81405642082353, -34.96588386231635 -7.816280270980598, -34.97072570685889 -7.817230368753298, -34.98043066862182 -7.8195497842952415, -34.99013561417564 -7.819732933321643, -34.99362143729135 -7.8195557059520455, -34.993451265736674 -7.8189506800135975, -34.989072439763845 -7.811313429509308, -34.98377713484988 -7.804287154812535, -34.97420487185118 -7.793493164036941, -34.97335407526076 -7.792274488705903, -34.97328837738212 -7.792271203625726, -34.96575278463175 -7.78575407209955, -34.95444939375575 -7.775163739522268, -34.94711746992993 -7.768646612053701, -34.93927639799151 -7.763249610787235, -34.937036086582964 -7.7609075201826005, -34.93286098750979 -7.760398357611819, -34.9293987151718 -7.760703834966434, -34.925121798037324 -7.7622312656638135, -34.922677837551 -7.761925768326486, -34.92115035423269 -7.7605001477269715, -34.921150339660066 -7.758259894941577, -34.92064116052827 -7.755001343752224, -34.91758618282388 -7.75031716895942, -34.908421302973075 -7.744207359941115, -34.90353336435633 -7.740337817851129, -34.90290874494614 -7.739997121920449, -34.89681246000786 -7.7366719299342765, -34.892026376803344 -7.736570085645157, -34.88693481241175 -7.7388103218260085, -34.885203703889545 -7.743698138397808, -34.8864257816446 -7.761009178510292)))",0,PV9,PV,Media,Associacao de: PODZOLICO VERMELHO AMARELO...,PV - Associacao de: PODZOLICO VERMELHO AMARELO...
mapa_exploratorio_solos_pernambuco_wgs84.8,"MULTIPOLYGON (((-34.99637662457112 -7.784255631236541, -34.99495727921562 -7.784454025665235, -34.98781590604588 -7.783843637244168, -34.98461994791434 -7.783236141502542, -34.98051834944774 -7.782495574875992, -34.97939267071785 -7.781878277213863, -34.9808238523958 -7.78351387352647, -34.983573336035064 -7.787179754896647, -34.98398068043287 -7.7894200110749905, -34.98367520317203 -7.791660264573427, -34.98204590846722 -7.793187704710441, -34.97929645324417 -7.793187694224187, -34.97532501162555 -7.792373041113932, -34.97335407526076 -7.792274488705903, -34.97420487185118 -7.793493164036941, -34.98377713484988 -7.804287154812535, -34.989072439763845 -7.811313429509308, -34.993451265736674 -7.8189506800135975, -34.99362143729135 -7.8195557059520455, -34.99373681836298 -7.819549839709209, -35.00002374322467 -7.828461153272266, -35.01406249785673 -7.844269610595063, -35.020532524583544 -7.850861553282064, -35.03524268308072 -7.866547927775354, -35.04513082440799 -7.875154081813465, -35.05416441331871 -7.88003702882008, -35.06234346061568 -7.8826616351408, -35.0705224915864 -7.882966871054687, -35.07583275151001 -7.882234474555058, -35.086270116967796 -7.874666075925574, -35.09493738099877 -7.865083476985207, -35.09713468232254 -7.8577591674342555, -35.09634116855144 -7.853974927351955, -35.09414380261443 -7.85183865041235, -35.09054258786388 -7.851838624979795, -35.08553752483458 -7.854035887294286, -35.081936333671855 -7.857453880616023, -35.0781520422542 -7.862641918313419, -35.074428786029394 -7.8674637404524, -35.06985098417619 -7.869355826403625, -35.065028987585904 -7.864839124866142, -35.06405235977743 -7.860932810417245, -35.062648455956726 -7.855134375111034, -35.06063418734069 -7.850861836817585, -35.05703293447115 -7.845429601947534, -35.05495762252237 -7.840363594048102, -35.05446930031591 -7.837250751386592, -35.05605625543166 -7.834259995786653, -35.059047073302246 -7.831452352977341, -35.064723543405734 -7.828766799758843, -35.07363500014979 -7.825654015994507, -35.075771288973456 -7.822480147194466, -35.075234354607716 -7.818662241853032, -35.070741721555706 -7.816303638126916, -35.063251706739386 -7.814294116252182, -35.06234296117055 -7.8140570513363405, -35.05794823656313 -7.811432462221345, -35.055140482755334 -7.808136485980489, -35.054876788768496 -7.807246560377674, -35.054143012183495 -7.804898581535183, -35.054494038620795 -7.803011776169354, -35.05495730818263 -7.800445920042905, -35.059535088318654 -7.795929271433396, -35.0634414765671 -7.794037175796156, -35.066371264008154 -7.792145073234258, -35.068446518408365 -7.789337421161297, -35.069273303402774 -7.78718059833884, -35.06982498859588 -7.785652857924942, -35.06860297664961 -7.782190635771087, -35.06626876663968 -7.7809704958866615, -35.064051738631356 -7.7798767747360165, -35.05703241608407 -7.77944947229304, -35.05304883325904 -7.779395522473972, -35.020945563636474 -7.779033580134973, -35.011271535501685 -7.780764619183817, -35.00068102941168 -7.7837176090310125, -34.99637662457112 -7.784255631236541)))",0,PV2,PV,,PODZOLICO VERMELHO AMARELO,PV - PODZOLICO VERMELHO AMARELO
mapa_exploratorio_solos_pernambuco_wgs84.9,"MULTIPOLYGON (((-34.810658633783795 -7.650379647112111, -34.810440698741886 -7.651455752376996, -34.810428068103995 -7.65142916277153, -34.81041180138445 -7.651503207517208, -34.811722520095685 -7.654324454835697, -34.8153238093201 -7.661038440413366, -34.817338116457954 -7.666836880490137, -34.81794851989611 -7.673428777338941, -34.81935240407572 -7.679227206775865, -34.821427684777014 -7.682156942147511, -34.82142447788364 -7.682262142133844, -34.82299892186162 -7.682975085424825, -34.82471377512509 -7.682571601234954, -34.8248763383992 -7.682138102650013, -34.825319010705925 -7.6809576526539605, -34.825520739868516 -7.676922778721174, -34.82552070656518 -7.669660004959362, -34.823906618975144 -7.659774548473063, -34.82077940255747 -7.650191700681447, -34.815937325488655 -7.640306233739655, -34.81458434206581 -7.637800814322951, -34.81381907364084 -7.639831752051066, -34.811477038254885 -7.646654338731806, -34.810658633783795 -7.650379647112111)))",0,AMd,AMd,Arenosa,AREIAS QUARTZOSAS MARINHAS DISTROFICAS,AMd - AREIAS QUARTZOSAS MARINHAS DISTROFICAS
mapa_exploratorio_solos_pernambuco_wgs84.10,"MULTIPOLYGON (((-34.83131630156028 -7.8099665025495835, -34.83132828216604 -7.810020978303361, -34.831994079232935 -7.809799051331038, -34.83207814053548 -7.809771031576504, -34.834095599619396 -7.805837035362046, -34.83508496496744 -7.804353012440999, -34.83449907770112 -7.801903034309503, -34.83217895079689 -7.7957498431699745, -34.829152708646056 -7.789092293193024, -34.8276395782222 -7.783746081097256, -34.826328189598485 -7.777189407244052, -34.82420979180032 -7.76649698547975, -34.82168789807136 -7.7557036911686765, -34.81997299965681 -7.7461208611155365, -34.819266845319234 -7.73795023932874, -34.82057817410831 -7.731393571519346, -34.8237052220312 -7.722819470265491, -34.82552092072414 -7.716363675122114, -34.8257226405825 -7.710311364059917, -34.82545910670621 -7.706991092660514, -34.82542000389875 -7.706982592144966, -34.82501650264532 -7.705671257190586, -34.82420946811205 -7.696088429148794, -34.82380595334579 -7.69185181036763, -34.82367145491602 -7.691851810108148, -34.82249459365552 -7.691851807837695, -34.82112350141546 -7.692135474190331, -34.82112254473465 -7.692166857468278, -34.817948625274674 -7.696073159927117, -34.81752138662711 -7.700833972675522, -34.8193525349456 -7.707425872063806, -34.81941360533795 -7.714567092617863, -34.818620139526864 -7.71853443567622, -34.81794874769559 -7.722379706815266, -34.815324158977866 -7.7251263245837585, -34.81221127646922 -7.728727446247441, -34.81111262078719 -7.731840283504747, -34.81025814208339 -7.74087361999638, -34.810563362544436 -7.7481369129393745, -34.811723093227776 -7.753080837136923, -34.81331007464667 -7.755949535944254, -34.81453084349447 -7.761137604663308, -34.81593471933057 -7.765349096716188, -34.817826892818395 -7.769560589935071, -34.8216112193398 -7.773650015428273, -34.82533451396705 -7.778960162393305, -34.826433206739004 -7.78396512301128, -34.826433229089325 -7.788848008930997, -34.82643324752834 -7.792876389814766, -34.82576185363792 -7.796233372273892, -34.82423593613639 -7.798979991915936, -34.82283210071114 -7.803374585787327, -34.824663237773294 -7.807952295752214, -34.83131630156028 -7.8099665025495835)))",0,AMd,AMd,Arenosa,AREIAS QUARTZOSAS MARINHAS DISTROFICAS,AMd - AREIAS QUARTZOSAS MARINHAS DISTROFICAS
