processo_numero,solicitacao_data,solicitacao_hora,solicitacao_descricao,solicitacao_bairro,solicitacao_localidade,solicitacao_endereco,processo_ocorrencia,is_confirmed,latitude,longitude,location_strategy,ground_type
8044307221,2021-05-14,18:25,"USUÁRIA SOLICITA UMA VISTORIA, ELA INFORMA QUE DEVIDO AS ULTIMAS CHUVAS A GARAGEM DO PRÉDIO ALAGOU, ELA INFORMA QUE A ÁGUA CHEGOU NOS ELEVADORES , DEIXANDO ASSIM OS MORADORES ILHADOS, SOLICITA UMA VISTORIA.",AFLITOS,AFLITOS,AVENIDA CONSELHEIRO ROSA E SILVA N295,Imoveis Alagados,-1,-8.0416231,-34.8980669,google maps api,URBANO
8029283918,2018-03-07,13:00,USUÁRIO SOLICITA VISTORIA EM UMA ARVORE LOCALIZADA NO TERRENO ABANDONADO QUE ESTÁ INCLINADA ECOM RISCO DE ATINGIR SUA RESIDENCIA.,ZUMBI,ZUMBI,"RUA SOUZA BANDEIRA, N 98",Arvores em Risco,-1,-8.0508487,-34.9184358,google maps api,A2
8006722618,2018-01-17,17:22,ARVORE DE GRANDE PORTE NO TERRENO ESTA PREJUDICANDO VIZINHOS O PRÓPRIO DONO DA RESIDENCIA. SOLICITA UMA VISTORIA,ZUMBI,ZUMBI,RUA RIBEIRO ROMA     N   92,Arvores em Risco,-1,-8.051875899999999,-34.9163749,google maps api,A2
8058966517,2017-07-02,08:05,"deseja vistoria mangueira com risco de queda na casa do vizinho ,na danificou a calçada e esta encostada em uma escada",ZUMBI,ZUMBI,rua abdias de oliveira  220,Arvores em Risco,-1,-8.055712,-34.917441,google maps api,URBANO
8035097415,2015-11-15,00:20,USUÁRIA SOLICITA A VISTORIA EM UMA ÁRVORE QUE ESTÁ EM SEU TERRENO COM A RAIZ BASTANTE RESSECADA. A MESMA INFORMA QUE O VEGETAL FICA MUITO INCLINADO EM TEMPO DE CHUVA E VENTO FORTE.,ZUMBI,ZUMBI,"RUA ABDIAS DE OLIVEIRA, N 278",Arvores em Risco,-1,-8.056228599999999,-34.9176697,google maps api,URBANO
8043509021,2021-05-14,07:42,"USUÁRIA SOLICITA VISTORIA, POIS TEM UMA ÁRVORE INCLINADA, COM RISCO DE CAIR EM CIMA DA CASA",VASCO DA GAMA,ALTO DO EUCALIPTO,"RUA RITAPÓLIS, 60",Arvores em Risco,-1,-8.003224,-34.922811,google maps api,LVd4
8069826321,2021-08-09,10:51,usuario informa que tem um pé de caja que esta risco de cair a qualquer momento. pede urgencia de uma vistoria no local,VASCO DA GAMA,VASCO DA GAMA,rua vasco da gama n 1650,Arvores em Risco,-1,-8.0061311,-34.9211465,google maps api,LVd4
8069828621,2021-08-09,10:51,usuario informa que tem um pé de caja que esta risco de cair a qualquer momento. pede urgencia de uma vistoria no local,VASCO DA GAMA,VASCO DA GAMA,rua vasco da gama n 1650,Arvores em Risco,-1,-8.0061311,-34.9211465,google maps api,LVd4
8082637621,2021-09-15,08:07,"USUÁRIO INFORMA QUE ESTA SENDO OCUPADA CASA, PARA SER FEITO DO LOCAL UM BAR, QUE JÁ FOI INTERDITADA E INDENIZADA PELA DEFESA CIVIL.",VASCO DA GAMA,ALTO DO RESPLENDOR,"RUA VINTE E DOIS DE OUTUBRO, N121",Invasao de Terreno de Auxilio Moradia,-1,-8.0182901,-34.9230267,google maps api,A2
8023708622,2022-03-11,07:25,solicita vistoria em árvore,VASCO DA GAMA,CGO. DO CARUA,"1tv pirizal, 208",Arvores em Risco,-1,-8.0100442,-34.9179104,google maps api,A2
8068433622,2022-06-15,21:18,"informa pe de jambo de grande porte, com risco de queda, informa que ja rachou o muro.",VASCO DA GAMA,ALTO NOSSA SRª DE FATIMA,"rua belizario, 2684",Arvores em Risco,-1,-8.0120285,-34.9171261,google maps api,A2
8074994619,2019-06-13,17:08,usuária informa que o canal são pedro transbordou e alagou as casas.,AFOGADOS,AFOGADOS,rua dirceu borges,Transbordamentos de Canais,-1,-8.0820624,-34.9210205,google maps api,HP
8089930919,2019-07-23,11:32,USUÁRIO INFORMA QUE A ÁRVORE ESTÁ TOMBANDO E IRÁ CAIR SOBRE A ESCOLA.ÁRVORE ESTÁ PODRE E PODE CAIR A QUALQUER MOMENTO.OFÍCIO ENVIADO PARA O CORPO DE BOMBEIROS / 01/19.,AFOGADOS,AFOGADOS,"RUA JOSÉ MIRANDA, 156",Arvores em Risco,-1,-8.0748711,-34.91015520000001,google maps api,URBANO
8009160722,2022-01-30,02:25,USUARIO INFORMA QUE A ARVORE DO QUINTAL ESTA COM METADE SOLTA E A OUTRA NO CHAO. O MESMO INFORMA QUE PODE CAIR A QUALQUER MOMENTO ENCIMA DA RESIDENCIA E SOLICITA UMA EQUIPE NO LOCAL,ZUMBI,ZUMBI,RUA FIDELIS MOLITERNO N235,Arvores em Risco,-1,-8.0549484,-34.9178877,google maps api,A2
8009245219,2019-01-28,11:41,Usuário solicita Vistoria em imóvel que alagou o quintal e agua na rua estar na altura da cintura,AFOGADOS,AFOGADOS,Rua Ernesto Cavalcanti,Imoveis Alagados,-1,-8.074228,-34.9147776,google maps api,HP
8012302319,2019-02-01,16:54,"CORPO DE BOMBEIROS SOLICITA PRESENÇA DA EQUIPE DA DEFESA CIVIL, HOUVE UM INCÊNDIO NA  RESIDENCIA.",AFOGADOS,AFOGADOS,JOSÉ MIRANDA N 174,Incendios,-1,-8.074802199999999,-34.910111,google maps api,URBANO
