processo_numero;processo_ocorrencia
8155845218;Não há Ocorrência para essa Solicitação
8155698018;Deslizamentos de Barreiras
8155361518;Invasao de Terreno de Auxilio Moradia
8155337718;Imoveis com Danos/Risco
8155296918;Não há Ocorrência para essa Solicitação
8155134918;Não há Ocorrência para essa Solicitação
8152998019;Não há Ocorrência para essa Solicitação
8152978019;Não há Ocorrência para essa Solicitação
8152840819;Não há Ocorrência para essa Solicitação
8152791918;Não há Ocorrência para essa Solicitação
8152784019;Não há Ocorrência para essa Solicitação
8152762719;Imoveis com Danos/Risco
8152748618;Não há Ocorrência para essa Solicitação
8152743418;Não há Ocorrência para essa Solicitação
8152743219;Não há Ocorrência para essa Solicitação
8152740319;Arvores em Risco
8152738919;Não há Ocorrência para essa Solicitação
8152736619;Não há Ocorrência para essa Solicitação
8152734319;Muro com Danos
8152730819;Imoveis com Danos/Risco
8152730819;Desabamento Parcial Imoveis
8152725419;Incendios
8152720219;Não há Ocorrência para essa Solicitação
8152715919;Deslizamentos de Barreiras
8152711518;Não há Ocorrência para essa Solicitação
8152711319;Deslizamentos de Barreiras
8152691418;Imoveis com Danos/Risco
8152687519;Muro com Danos
8152618319;Não há Ocorrência para essa Solicitação
8152603818;Não há Ocorrência para essa Solicitação
8152591018;Não há Ocorrência para essa Solicitação
8152545619;Não há Ocorrência para essa Solicitação
8152541019;Imoveis com Danos/Risco
8152512019;Não há Ocorrência para essa Solicitação
8152494219;Não há Ocorrência para essa Solicitação
8152465418;Imoveis com Danos/Risco
8152464619;Deslizamentos de Barreiras
8152447618;Imoveis com Danos/Risco
8152427319;Imoveis com Danos/Risco
8152422119;Não há Ocorrência para essa Solicitação
8152381518;Deslizamentos de Barreiras
8152379919;Não há Ocorrência para essa Solicitação
8152346319;Deslizamentos de Barreiras
8152335119;Deslizamentos de Barreiras
8152335119;Alagamentos
8152332219;Não há Ocorrência para essa Solicitação
8152314419;Imoveis com Danos/Risco
8152295118;Desabamento Total Imoveis
8152173119;Imoveis com Danos/Risco
8152170219;Imoveis com Danos/Risco
8152058819;Imoveis com Danos/Risco
8152025219;Não há Ocorrência para essa Solicitação
8152006018;Não há Ocorrência para essa Solicitação
8152005119;Imoveis com Danos/Risco
8151997019;Imoveis com Danos/Risco
8151996618;Não há Ocorrência para essa Solicitação
8151993718;Não há Ocorrência para essa Solicitação
8151982319;Imoveis com Danos/Risco
8151976518;Não há Ocorrência para essa Solicitação
8151968218;Imoveis com Danos/Risco
8151948019;Não há Ocorrência para essa Solicitação
8151923719;Não há Ocorrência para essa Solicitação
8151887218;Não há Ocorrência para essa Solicitação
8151877718;Não há Ocorrência para essa Solicitação
8151877718;Deslizamentos de Barreiras
8151849119;Não há Ocorrência para essa Solicitação
8151844118;Não há Ocorrência para essa Solicitação
8151832119;Não há Ocorrência para essa Solicitação
8151822818;Não há Ocorrência para essa Solicitação
8151819519;Não há Ocorrência para essa Solicitação
8151815118;Não há Ocorrência para essa Solicitação
8151811618;Incendios
8151797318;Não há Ocorrência para essa Solicitação
8151793818;Arvores em Risco
8151786118;Imoveis com Danos/Risco
8151706619;Deslizamentos de Barreiras
8151661219;Imoveis com Danos/Risco
8151659819;Incendios
8151645719;Não há Ocorrência para essa Solicitação
8151614419;Não há Ocorrência para essa Solicitação
8151590819;Deslizamentos de Barreiras
8151588319;Imoveis com Danos/Risco
8151586019;Imoveis com Danos/Risco
8151549819;Imoveis com Danos/Risco
8151493219;Não há Ocorrência para essa Solicitação
8151463619;Não há Ocorrência para essa Solicitação
8151461518;Não há Ocorrência para essa Solicitação
8151384018;Não há Ocorrência para essa Solicitação
8151363119;Não há Ocorrência para essa Solicitação
8151329018;Arvores em Risco
8151322319;Não há Ocorrência para essa Solicitação
8151320019;Não há Ocorrência para essa Solicitação
8151229518;Não há Ocorrência para essa Solicitação
8151222018;Não há Ocorrência para essa Solicitação
8151192219;Não há Ocorrência para essa Solicitação
8151164018;Não há Ocorrência para essa Solicitação
8151115018;Não há Ocorrência para essa Solicitação
8151108119;Imoveis com Danos/Risco
8151061718;Não há Ocorrência para essa Solicitação
8151055519;Não há Ocorrência para essa Solicitação
8151050518;Não há Ocorrência para essa Solicitação
8151043719;Não há Ocorrência para essa Solicitação
8151009518;Imoveis com Danos/Risco
8150931619;Não há Ocorrência para essa Solicitação
8150907819;Não há Ocorrência para essa Solicitação
8150902619;Imoveis com Danos/Risco
8150894518;Não há Ocorrência para essa Solicitação
8150875919;Não há Ocorrência para essa Solicitação
8150811218;Deslizamentos de Barreiras
8150804419;Não há Ocorrência para essa Solicitação
8150803018;Deslizamentos de Barreiras
8150793219;Não há Ocorrência para essa Solicitação
8150776218;Imoveis com Danos/Risco
8150726319;Imoveis com Danos/Risco
8150718019;Arvores em Risco
8150708519;Não há Ocorrência para essa Solicitação
8150663119;Não há Ocorrência para essa Solicitação
8150647619;Imoveis com Danos/Risco
8150645319;Não há Ocorrência para essa Solicitação
8150579019;Imoveis com Danos/Risco
8150528918;Não há Ocorrência para essa Solicitação
8150527019;Imoveis com Danos/Risco
8150522018;Desabamento Parcial Imoveis
8150493919;Não há Ocorrência para essa Solicitação
8150485619;Não há Ocorrência para essa Solicitação
8150381619;Não há Ocorrência para essa Solicitação
8150360919;Não há Ocorrência para essa Solicitação
8150341419;Imoveis com Danos/Risco
8150313019;Imoveis com Danos/Risco
8150313019;Deslizamentos de Barreiras
8150300619;Não há Ocorrência para essa Solicitação
8150298318;Muro com Danos
8150290019;Não há Ocorrência para essa Solicitação
8150273018;Deslizamentos de Barreiras
8150273018;Não há Ocorrência para essa Solicitação
8150264118;Não há Ocorrência para essa Solicitação
8150264118;Deslizamentos de Barreiras
8150233918;Não há Ocorrência para essa Solicitação
8150210719;Não há Ocorrência para essa Solicitação
8150197019;Imoveis com Danos/Risco
8150190818;Imoveis com Danos/Risco
8150139218;Arvores em Risco
8150083519;Não há Ocorrência para essa Solicitação
8150055119;Deslizamentos de Barreiras
8149965819;Invasao de Terreno de Auxilio Moradia
8149954619;Não há Ocorrência para essa Solicitação
8149861819;Imoveis com Danos/Risco
8149723419;Imoveis com Danos/Risco
8149664018;Não há Ocorrência para essa Solicitação
8149659618;Não há Ocorrência para essa Solicitação
8149603018;Tombamento de Arvores
8149600019;Imoveis com Danos/Risco
8149584419;Deslizamentos de Barreiras
8149582119;Não há Ocorrência para essa Solicitação
8149550219;Imoveis com Danos/Risco
8149544219;Não há Ocorrência para essa Solicitação
8149531819;Não há Ocorrência para essa Solicitação
8149446019;Imoveis com Danos/Risco
8149327119;Imoveis com Danos/Risco
8149294619;Não há Ocorrência para essa Solicitação
8149244919;Imoveis com Danos/Risco
8149241019;Deslizamentos de Barreiras
8149171119;Não há Ocorrência para essa Solicitação
8149159119;Não há Ocorrência para essa Solicitação
8149144419;Não há Ocorrência para essa Solicitação
8149140919;Não há Ocorrência para essa Solicitação
8149129519;Imoveis com Danos/Risco
8149110219;Não há Ocorrência para essa Solicitação
8149088719;Não há Ocorrência para essa Solicitação
8149040419;Imoveis com Danos/Risco
8149037319;Não há Ocorrência para essa Solicitação
8149033819;Não há Ocorrência para essa Solicitação
8149022619;Não há Ocorrência para essa Solicitação
8149010819;Não há Ocorrência para essa Solicitação
8149008319;Não há Ocorrência para essa Solicitação
8148995218;Não há Ocorrência para essa Solicitação
8148993018;Imoveis com Danos/Risco
8148986119;Não há Ocorrência para essa Solicitação
8148982619;Não há Ocorrência para essa Solicitação
8148980319;Imoveis com Danos/Risco
8148957318;Imoveis com Danos/Risco
8148957318;Imoveis Alagados
8148930619;Imoveis com Danos/Risco
8148907419;Não há Ocorrência para essa Solicitação
8148887518;Imoveis com Danos/Risco
8148887518;Invasao de Terreno de Auxilio Moradia
8148883819;Não há Ocorrência para essa Solicitação
8148878419;Imoveis com Danos/Risco
8148875718;Não há Ocorrência para essa Solicitação
8148846718;Não há Ocorrência para essa Solicitação
8148846718;Deslizamentos de Barreiras
8148837818;Desabamento Total Imoveis
8148826618;Não há Ocorrência para essa Solicitação
8148810218;Não há Ocorrência para essa Solicitação
8148800718;Não há Ocorrência para essa Solicitação
8148800519;Não há Ocorrência para essa Solicitação
8148797618;Não há Ocorrência para essa Solicitação
8148789318;Imoveis com Danos/Risco
8148704818;Não há Ocorrência para essa Solicitação
8148635419;Muro com Danos
8148633318;Não há Ocorrência para essa Solicitação
8148595219;Não há Ocorrência para essa Solicitação
8148572418;Não há Ocorrência para essa Solicitação
8148567919;Não há Ocorrência para essa Solicitação
8148507818;Não há Ocorrência para essa Solicitação
8148352418;Muro com Danos
8148341019;Não há Ocorrência para essa Solicitação
8148336918;Arvores em Risco
8148297318;Não há Ocorrência para essa Solicitação
8148170318;Não há Ocorrência para essa Solicitação
8148116719;Imoveis com Danos/Risco
8148107819;Não há Ocorrência para essa Solicitação
8147952619;Não há Ocorrência para essa Solicitação
8147943719;Invasao de Terreno de Auxilio Moradia
8147909319;Arvores em Risco
8147905819;Imoveis com Danos/Risco
8147884019;Imoveis com Danos/Risco
8147867919;Imoveis com Danos/Risco
8147864019;Deslizamentos de Barreiras
8147853018;Muro com Danos
8147853018;Imoveis com Danos/Risco
8147778818;Não há Ocorrência para essa Solicitação
8147762219;Invasao de Terreno de Auxilio Moradia
8147748019;Não há Ocorrência para essa Solicitação
8147748019;Imoveis com Danos/Risco
8147697818;Não há Ocorrência para essa Solicitação
8147692618;Não há Ocorrência para essa Solicitação
8147547618;Não há Ocorrência para essa Solicitação
8147547419;Imoveis com Danos/Risco
8147535818;Não há Ocorrência para essa Solicitação
8147532918;Não há Ocorrência para essa Solicitação
8147527319;Imoveis com Danos/Risco
8147404018;Deslizamentos de Barreiras
8147334019;Não há Ocorrência para essa Solicitação
8147324519;Imoveis com Danos/Risco
8147276019;Imoveis com Danos/Risco
8147270418;Muro com Danos
8147250119;Muro com Danos
8147201019;Muro com Danos
8147198019;Deslizamentos de Barreiras
8147171618;Não há Ocorrência para essa Solicitação
8147078419;Imoveis com Danos/Risco
8147076318;Não há Ocorrência para essa Solicitação
8147067418;Não há Ocorrência para essa Solicitação
8147058319;Imoveis com Danos/Risco
8147034719;Imoveis com Danos/Risco
8146931519;Não há Ocorrência para essa Solicitação
8146924018;Não há Ocorrência para essa Solicitação
8146882419;Imoveis com Danos/Risco
8146882419;Incendios
8146875819;Imoveis com Danos/Risco
8146772419;Desabamento Parcial de Obras de Contencao/Drenagem
8146709019;Não há Ocorrência para essa Solicitação
8146704919;Não há Ocorrência para essa Solicitação
8146683318;Não há Ocorrência para essa Solicitação
8146675018;Imoveis com Danos/Risco
8146606719;Imoveis com Danos/Risco
8146604419;Imoveis com Danos/Risco
8146602119;Imoveis com Danos/Risco
8146583918;Imoveis com Danos/Risco
8146574018;Imoveis com Danos/Risco
8146565919;Imoveis com Danos/Risco
8146529219;Não há Ocorrência para essa Solicitação
8146504019;Imoveis com Danos/Risco
8146453619;Não há Ocorrência para essa Solicitação
8146418619;Não há Ocorrência para essa Solicitação
8146370518;Não há Ocorrência para essa Solicitação
8146367418;Não há Ocorrência para essa Solicitação
8146343619;Não há Ocorrência para essa Solicitação
8146333019;Não há Ocorrência para essa Solicitação
8146283518;Deslizamentos de Barreiras
8146264018;Imoveis com Danos/Risco
8146257418;Imoveis com Danos/Risco
8146251419;Não há Ocorrência para essa Solicitação
8146249118;Muro com Danos
8146249118;Desabamento Parcial Imoveis
8146236519;Imoveis com Danos/Risco
8146230918;Invasao de Terreno de Auxilio Moradia
8146186819;Não há Ocorrência para essa Solicitação
8146173319;Imoveis com Danos/Risco
8146171218;Não há Ocorrência para essa Solicitação
8146164419;Não há Ocorrência para essa Solicitação
8146162119;Não há Ocorrência para essa Solicitação
8146155519;Imoveis com Danos/Risco
8146137719;Não há Ocorrência para essa Solicitação
8146093019;Não há Ocorrência para essa Solicitação
8146056719;Imoveis com Danos/Risco
8146042818;Não há Ocorrência para essa Solicitação
8146040518;Não há Ocorrência para essa Solicitação
8146032218;Não há Ocorrência para essa Solicitação
8146009919;Arvores em Risco
8146000119;Não há Ocorrência para essa Solicitação
8145998919;Não há Ocorrência para essa Solicitação
8145984819;Não há Ocorrência para essa Solicitação
8145979419;Imoveis com Danos/Risco
8145893418;Não há Ocorrência para essa Solicitação
8145722518;Desabamento Parcial Imoveis
8145698519;Imoveis com Danos/Risco
8145680919;Imoveis com Danos/Risco
8145678419;Imoveis com Danos/Risco
8145637619;Imoveis com Danos/Risco
8145498619;Transbordamentos de Canais
8145490519;Não há Ocorrência para essa Solicitação
8145464419;Não há Ocorrência para essa Solicitação
8145460018;Não há Ocorrência para essa Solicitação
8145428018;Não há Ocorrência para essa Solicitação
8145372418;Arvores em Risco
8145078918;Não há Ocorrência para essa Solicitação
8144994118;Não há Ocorrência para essa Solicitação
8144989619;Imoveis com Danos/Risco
8144989619;Não há Ocorrência para essa Solicitação
8144969519;Imoveis com Danos/Risco
8144888519;Não há Ocorrência para essa Solicitação
8144856619;Não há Ocorrência para essa Solicitação
8144815018;Não há Ocorrência para essa Solicitação
8144677618;Imoveis com Danos/Risco
8144518518;Não há Ocorrência para essa Solicitação
8144462018;Não há Ocorrência para essa Solicitação
8144430018;Não há Ocorrência para essa Solicitação
8144426318;Não há Ocorrência para essa Solicitação
8144424018;Não há Ocorrência para essa Solicitação
8144410018;Muro com Danos
8144390719;Não há Ocorrência para essa Solicitação
